,/,淡水3.5萬噸配水池光電站,大潭電廠光電站,大潭電廠GIS廠房光電站,北部儲運中心光電站,中大D/S光電站,平鎮淨水場光電站,大湳淨水場光電站,龜山第三加壓站光電站,龍潭淨水場光電站,龍潭E/S光電站,竹工E/S光電站,卓蘭會館光電站,東興淨水場光電站,后里E/S光電站,中部儲運中心光電站,東勢新伯公光電站,台中電廠光電站,台中龍井光電站,中科E/S光電站,彰化彰濱光電站,彰林E/S光電站,南投大彎光電站,嘉義民雄光電站,義竹工作站光電站,台南鹽田光電站,台南七股光電站,台南七股II光電站,興達電廠光電站,永安鹽灘地光電站,高雄保寧光電站,路北E/S光電站,燕巢倉庫光電站,高雄E/S光電站,高雄E/S停車棚光電站,鳳山水庫光電站,核三廠光電站,澎湖七美光電站,澎湖尖山光電站,蘭嶼電廠光電站,蘭嶼貯存場光電站,金門金沙光電站,金門塔山光電站,金門鵲山光電站,馬祖珠山光電站
21,新竹,59034.3085550,22921.4742774,22921.4742774,25760.4057001,24697.6365868,20491.6851370,31731.7183343,42618.5618986,23017.8797696,10579.1874666,18884.4245102,61241.9990455,19977.1745362,63597.7299933,63195.6145324,70255.8580798,86441.1646857,84815.0950333,80898.0529981,100158.2646404,114896.8479146,114738.6370809,155548.7479828,179063.8066253,204693.8247461,211358.8883673,211358.8883673,234048.9688860,235225.1809639,235732.3537636,234620.9072317,237061.0449174,253427.6653010,253427.6653010,261514.2371396,319367.6777397,241502.4963617,195819.7684804,316133.1820452,316166.5266657,266463.9950936,276303.3618723,264976.6997285,182239.4413335
22,金門,330782.8190820,288221.6108270,288221.6108270,304884.9139124,300747.3770095,299323.1434312,309632.5116972,318170.6290817,302349.8686182,288408.0911404,297692.2352574,257017.5100562,267706.3236398,248045.2402141,246940.6777214,259458.6304242,223546.0136620,224514.0778162,235998.9004499,218390.0475557,226080.9775582,269028.8207492,241054.6859346,232515.4529653,230015.9233002,237572.9954959,237572.9954959,259897.3356883,261785.3161924,264765.7845951,265113.7316761,280354.6026106,282921.7617196,282921.7617196,297548.0908134,370351.9520671,177288.9535238,167962.1110113,424777.1499858,425965.1409371,15282.1644777,3825.1269205,14444.7731239,254812.5173515
23,玉山,194566.4459795,171791.9991417,171791.9991417,159745.7321630,166849.5857704,158929.7861479,167194.5569298,178301.4148403,153560.7496790,156582.3732511,149143.4518774,91921.3882345,131516.5785461,94759.6486898,95974.3680628,81879.6987693,94370.0434088,94860.5844900,87111.9016094,88306.2061673,71005.8629656,36918.4320160,51481.6026613,71335.6831326,93050.2513811,94077.0171200,94077.0171200,104431.8567623,104770.9279574,103897.6536571,102534.3825538,98591.5645838,115764.5489399,115764.5489399,119871.4617239,170541.8804560,158890.1224376,132345.0873305,173078.0166388,173432.2405728,283046.3057446,288454.5761195,278072.8320641,313246.9551742
24,馬祖,188880.4878712,170367.6093121,170367.6093121,194647.5007825,184756.8861375,190687.2150937,192216.5897813,190375.6279423,197991.6173740,184370.4477914,198104.3082541,226228.6761017,194468.5457897,221795.6613000,220492.0546496,236007.6166959,224305.6055336,223412.9575727,229349.0674157,234491.9286780,254832.4611067,279109.3138923,298919.6416874,313637.4595068,332682.8339994,341581.6228023,341581.6228023,369158.1908800,370881.1833969,372588.3544081,371917.3797786,380337.0289172,393491.4721665,393491.4721665,405474.9890563,474960.3613027,333298.1933525,290350.6255594,489039.3644801,489366.0242684,240593.0653005,251869.6892439,244271.9142109,2793.8762428
25,澎湖,262388.9913386,222498.0465897,222498.0465897,226887.6084791,228051.0747177,222710.5119544,234091.1854869,245655.8557898,221811.4553958,213953.0465711,216221.7125689,152262.1163096,184512.5410842,145437.0912138,145135.6897871,148707.2489611,118509.7819994,120113.7614879,127560.2268384,105905.6102429,99377.0109728,134419.1665766,91160.5111204,75703.6989727,70311.5254102,78051.9148630,78051.9148630,102060.4283844,104004.7093055,106856.5855741,107015.4939680,121685.3601192,126527.1977764,126527.1977764,141143.6637620,215762.9833205,42196.7755035,10331.3864603,265268.3403835,266425.7375139,157029.4715481,159202.5345442,150666.2202646,289615.2413169
26,墾丁雷達站,365158.0590788,343621.7757694,343621.7757694,331221.4420113,338596.0140250,330641.1649113,338543.6871287,349357.2119604,325066.7652799,328456.4995778,320807.4565131,262060.3337053,302843.4110607,263268.4835447,264285.8084976,252183.5635285,254445.5134632,255503.8700308,251410.7985041,243506.6556562,223162.8135193,206635.5480077,178985.1245784,166996.7431864,154759.3831386,145706.3842151,145706.3842151,118973.4653581,117015.8801714,114351.7515027,114427.6040621,101640.5738737,94023.0429322,94023.0429322,79473.8765556,5904.1260190,198580.3003369,214980.1692297,75966.3072056,77735.0858039,375270.5667092,375722.4354422,368492.3424229,475247.7961996
27,新屋,45185.9714514,2836.4666572,2836.4666572,24362.4520069,15907.3562244,19534.9169628,25278.1200422,31772.2434127,26624.3379586,13719.6588469,26696.0219249,81236.9203093,39607.4743082,83117.9254526,82615.8498907,90371.2483119,104574.6966894,102966.5272644,99980.0129884,118408.8806716,134023.2691591,134905.2296687,175338.1624694,198581.5596421,224039.2249461,230860.5810556,230860.5810556,253861.0596742,255061.0611630,255611.7788949,254511.9909523,257125.0159057,273443.5970376,273443.5970376,281623.9723682,339475.4949006,258758.5297561,212646.2340285,335223.0223519,335220.6128736,273017.5966557,283241.5879048,272033.7236106,168766.4547724
28,田中,169823.1114987,137356.1490511,137356.1490511,132916.9824300,137263.9956076,130219.4679193,140656.3295836,152583.6349627,126973.6684780,124370.6159597,121607.6677052,53904.7442296,94943.5516121,51503.3988760,52135.4169200,46301.1070505,39404.0815624,40327.7472839,36550.4337842,30906.0190692,14195.6800750,29015.7052702,40835.2887234,64561.5893969,90620.1293605,96807.3989309,96807.3989309,119351.8026583,120576.3160704,121204.1873474,120134.0851166,123815.3633432,139616.4810318,139616.4810318,148838.8869455,212911.5418935,138604.0909091,99313.4047533,227708.1783891,228220.3606445,231676.3948233,238116.4450013,227285.5097090,261031.9284860
29,臺中,138709.5633549,105380.6518523,105380.6518523,101820.0574321,105681.7351877,98830.1804648,109514.9581209,121458.0373701,96011.9610784,92578.8311058,90544.8096267,22691.3589365,62986.4736213,19535.7239882,20240.7231189,17741.5602420,21657.7548738,21137.7769276,9979.1979051,27267.4508437,33503.7189692,41652.1267226,72823.1108903,96215.8983518,122001.6074044,128510.7061956,128510.7061956,151341.5570645,152564.2995099,153177.0106875,152099.4728629,155439.2919566,171424.1644635,171424.1644635,180316.0300231,242519.1648802,164772.2129198,121941.1254728,251435.2136152,251793.0314229,234502.8817941,242158.5133360,230944.3894078,234942.9971427
30,恆春,360274.8030717,337985.1281741,337985.1281741,326038.1927715,333265.7212296,325334.8773436,333414.2181511,344333.4606862,319868.3344848,322919.9259587,315528.9108017,255989.1712536,296968.0698930,256978.1907143,257970.5704738,246162.3944605,247549.7466702,248635.4740941,244794.5540663,236424.0361470,216095.0529723,200704.8122618,171718.1024215,159116.1256867,146362.4205031,137280.0903910,137280.0903910,110391.7936868,108435.2479251,105802.8901575,105909.4719434,93383.7731498,85345.5829628,85345.5829628,70846.0619785,4323.5324155,189705.7128750,206339.5874869,81853.9051363,83610.5691152,366434.2905763,366864.6479501,359650.5373443,468026.2641344
