,站號,站名,站種,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
17,467441,高雄,局屬有人站,11.8,120.3125,22.7304,高雄市,楠梓區德民路28號,2022-01-24,,,467440,
18,467480,嘉義,局屬有人站,26.9,120.432906,23.495925,嘉義市,西區北新里海口寮路56號,1968-09-01,,,,
19,467490,臺中,局屬有人站,84.04,120.684075,24.145736,臺中市,北區精武路295號,1897-01-01,,2000年至2006年氣候年報之海拔高度誤植為34m。,,
20,467530,阿里山,局屬有人站,2413.4,120.813242,23.508208,嘉義縣,阿里山鄉中正村4鄰東阿里山73-1號,1933-04-01,,,,
21,467540,大武,局屬有人站,8.1,120.903789,22.355675,臺東縣,大武鄉大武街115號,1940-01-01,,,,
22,467550,玉山,局屬有人站,3844.8,120.959522,23.487614,南投縣,信義鄉玉山北峰1號,1943-10-01,,,,
23,467571,新竹,局屬有人站,26.9,121.014219,24.827853,新竹縣,竹北市北崙里3鄰光明五街60號,1991-07-01,,,,
24,467590,恆春,局屬有人站,22.3,120.746339,22.003897,屏東縣,恆春鎮天文路50號,1896-11-20,,,,
25,467610,成功,局屬有人站,33.5,121.373428,23.097486,臺東縣,成功鎮公民路84號,1940-01-01,,,,
26,467620,蘭嶼,局屬有人站,324.0,121.558339,22.036969,臺東縣,蘭嶼鄉紅頭村2號,1941-11-01,,,,
27,467650,日月潭,局屬有人站,1017.5,120.90805,23.881325,南投縣,魚池鄉水社村中山路270巷14號,1941-11-01,,,,
28,467660,臺東,局屬有人站,9.0,121.154586,22.752211,臺東縣,臺東市大同路106號,1901-01-01,,,,
30,467990,馬祖,局屬有人站,97.842,119.923419,26.169269,連江縣,南竿鄉四維村6鄰88號,2004-01-01,,,,
170,C0FA30,梧棲,局屬自動站,31.73,120.523381,24.256003,臺中市,梧棲區臺灣大道十段2號海港大樓6樓,2022-08-01,,本站站碼於2022/8/1由467770改為C0FA30。,467770,
387,C0T9I0,豐濱,局屬自動站,152.0,121.514806,23.583897,花蓮縣,豐濱鄉豐濱村,2004-06-01,,本站於2017/4/25起進行儀器汰換，於2017/6/3完成驗收。,,
437,C0V620,永安,局屬自動站,18.0,120.236856,22.82315,高雄市,永安區永安路32號(永安消防分隊),2013-12-01,,,,
438,C0V630,茄萣,局屬自動站,19.0,120.182608,22.906642,高雄市,茄萣區濱海路四段27號(茄萣區公所),2013-12-01,,,,
439,C0V640,湖內,局屬自動站,35.0,120.2445,22.887139,高雄市,湖內區中山路一段290之1號(湖街派出所),2013-12-01,,,,
440,C0V650,彌陀,局屬自動站,28.0,120.246361,22.783806,高雄市,彌陀區中正北路7號(彌陀消防分隊),2013-12-01,,,,
441,C0V660,岡山,局屬自動站,25.0,120.294958,22.797078,高雄市,岡山區岡山路341號(岡山地政事務所),2013-12-01,,,,
442,C0V680,仁武,局屬自動站,40.0,120.347722,22.701083,高雄市,仁武區中正路133號(仁武區公所),2013-12-01,,,,
443,C0V690,鼓山,局屬自動站,30.0,120.275575,22.623325,高雄市,鼓山區臨海一路61-1號(鼓山消防分隊),2013-12-01,,,,
444,C0V700,三民,局屬自動站,24.0,120.311233,22.645017,高雄市,三民區十全一路88號(十全消防分隊),2013-12-01,,,,
445,C0V710,苓雅,局屬自動站,34.0,120.330669,22.622742,高雄市,苓雅區三多一路162號(苓雅消防分隊),2013-12-01,,,,
446,C0V720,林園,局屬自動站,15.0,120.394511,22.507747,高雄市,林園區林園北路179號(林園區公所),2013-08-01,,,,
447,C0V730,大寮,局屬自動站,33.0,120.395717,22.605614,高雄市,大寮區鳳林三路492號(大寮區公所),2013-08-01,,,,
448,C0V740,旗山,局屬自動站,60.0,120.483597,22.888614,高雄市,旗山區延平一路499號(旗山區公所),2013-08-01,,,,
449,C0V750,路竹,局屬自動站,50.0,120.259439,22.854997,高雄市,路竹區國昌路76號(路竹區公所),2013-12-01,,,,
450,C0V760,橋頭,局屬自動站,30.0,120.30575,22.757806,高雄市,橋頭區隆豐路1號(橋頭區公所),2013-12-01,,,,
451,C0V770,大社,局屬自動站,26.0,120.346639,22.730306,高雄市,大社區自強街1號(大社區公所),2013-12-01,,,,
452,C0V790,萬山,局屬自動站,410.0,120.688056,22.905944,高雄市,茂林區萬山段710地號,2013-12-01,,,,
453,C0V800,六龜,局屬自動站,256.0,120.633583,22.997889,高雄市,六龜區民治路9號(六龜消防隊),2013-12-01,,,,
454,C0V810,左營,局屬自動站,32.0,120.28491,22.67491,高雄市,左營區左營大路1號(高雄市立海青高級工商職業學校資訊大樓樓頂),2015-09-21,,,,
